Date,Listen,Read,Make,Review,Sentences
26/04/2021,0,28,25,9,17
27/04/2021,161,30,0,0,0
28/04/2021,84,0,0,9,0
29/04/2021,209,0,18,5,16
30/04/2021,160,57,28,9,23
1/5/2021,50,28,0,3,0
2/5/2021,165,39,36,9,27
3/5/2021,100,31,35,6,32
4/5/2021,0,0,60,8,-59
5/5/2021,134,35,0,6,0
6/5/2021,124,0,28,8,34
7/5/2021,307,0,0,5,0
8/5/2021,209,29,200,18,93
9/5/2021,264,16,10,11,9
10/5/2021,187,0,36,6,0
11/5/2021,247,0,40,21,56
12/5/2021,50,0,8,0,0
13/05/2021,44,0,0,12,0
14/05/2021,20,0,45,11,28
15/05/2021,40,31,0,7,0
16/05/2021,110,13,0,7,0
17/05/2021,90,0,5,6,0
18/05/2021,90,0,14,4,10
19/05/2021,190,0,0,0,0
20/05/2021,0,0,0,6,0
21/05/2021,0,0,0,0,0
22/05/2021,40,37,0,0,0
23/05/2021,0,0,14,14,18
24/05/2021,40,0,0,3,0
25/05/2021,0,0,0,0,0
26/05/2021,0,0,0,0,0
27/05/2021,0,0,0,5,0
28/05/2021,0,0,0,0,0
29/05/2021,0,0,0,0,0
30/05/2021,100,0,0,4,0
31/05/2021,0,0,0,2,0
1/6/2021,140,0,4,2,2
2/6/2021,0,0,0,5,0
3/6/2021,0,0,0,0,0
4/6/2021,0,0,0,2,0
5/6/2021,0,0,0,0,0
6/6/2021,0,0,0,0,0
7/6/2021,0,0,0,0,0
8/6/2021,0,0,0,0,0
9/6/2021,0,0,0,0,0
10/6/2021,0,0,0,0,0
11/6/2021,80,0,0,10,0
12/6/2021,0,0,0,2,0
13/06/2021,33,0,0,0,0
14/06/2021,0,0,0,0,0
15/06/2021,90,0,0,3,0
16/06/2021,0,0,0,0,0
17/06/2021,0,0,0,0,0
18/06/2021,0,0,0,0,0
19/06/2021,0,0,0,0,0
20/06/2021,0,0,0,0,0
21/06/2021,0,0,0,0,0
22/06/2021,0,0,0,0,0
23/06/2021,0,0,0,0,0
24/06/2021,80,0,45,13,43
25/06/2021,40,0,0,7,0
26/06/2021,0,0,0,0,0
27/06/2021,0,0,0,0,0
28/06/2021,0,0,0,4,0
29/06/2021,0,0,0,3,0
30/06/2021,0,0,0,3,0
1/7/2021,0,0,0,0,0
2/7/2021,0,0,0,0,0
3/7/2021,0,0,0,0,0
4/7/2021,0,0,0,0,0
5/7/2021,0,0,0,0,0
6/7/2021,0,0,0,0,0
7/7/2021,0,0,0,0,0
8/7/2021,0,0,0,0,0
9/7/2021,0,0,0,0,0
10/7/2021,0,20,0,7,0
11/7/2021,0,0,0,0,0
12/7/2021,0,0,0,0,0
13/07/2021,0,0,0,0,0
14/07/2021,0,0,0,0,0
15/07/2021,0,0,0,0,0
16/07/2021,0,0,0,0,0
17/07/2021,0,0,0,10,0
18/07/2021,0,0,0,0,0
19/07/2021,0,0,0,0,0
20/07/2021,0,0,0,0,0
21/07/2021,0,0,0,0,0
22/07/2021,0,0,0,0,0
23/07/2021,0,0,0,0,0
24/07/2021,0,0,0,15,0
25/07/2021,0,0,0,0,0
26/07/2021,0,0,0,0,0
27/07/2021,0,0,0,0,0
28/07/2021,0,0,0,0,0
29/07/2021,0,0,0,0,0
30/07/2021,0,0,0,0,0
